player_name,team,season,runs,balls_faced,outs,fours,sixes,strike_rate,balls_bowled,runs_conceded,wickets,overs,economy,is_batsman,is_bowler,is_allrounder,is_pure_batsman,is_pure_bowler,fantasy_points
CK Kapugedera,Chennai Super Kings,2007/08,16.0,22.0,3.0,0.0,0.0,72.72727272727273,17.0,49.0,0.0,2.8333333333333335,17.294117647058822,False,False,False,False,False,16.0
S Anirudha,Chennai Super Kings,2007/08,1.0,7.0,1.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,1.0
A Mukund,Chennai Super Kings,2007/08,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0
AC Gilchrist,Deccan Chargers,2007/08,436.0,314.0,13.0,51.0,19.0,138.8535031847134,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,525.0
RG Sharma,Deccan Chargers,2007/08,404.0,270.0,11.0,38.0,19.0,149.62962962962962,24.0,25.0,1.0,4.0,6.25,True,False,False,True,False,515.0
RP Singh,Deccan Chargers,2007/08,27.0,24.0,4.0,2.0,1.0,112.5,308.0,442.0,15.0,51.333333333333336,8.61038961038961,False,True,False,False,True,406.0
Y Venugopal Rao,Deccan Chargers,2007/08,288.0,207.0,8.0,22.0,15.0,139.1304347826087,84.0,137.0,2.0,14.0,9.785714285714286,True,True,True,False,False,390.0
Shahid Afridi,Deccan Chargers,2007/08,81.0,46.0,8.0,7.0,6.0,176.08695652173913,180.0,225.0,9.0,30.0,7.5,False,True,False,False,True,335.0
PP Ojha,Deccan Chargers,2007/08,2.0,4.0,1.0,0.0,0.0,50.0,222.0,289.0,11.0,37.0,7.8108108108108105,False,True,False,False,True,277.0
A Symonds,Deccan Chargers,2007/08,161.0,104.0,2.0,15.0,9.0,154.80769230769232,41.0,101.0,0.0,6.833333333333333,14.78048780487805,True,False,False,True,False,204.0
